Channel Id,Channel Url,Channel Title
UCrZKnWgOaYTTc7sc1KsVXZw,http://www.youtube.com/channel/UCrZKnWgOaYTTc7sc1KsVXZw,i
UCrjliuC6PeXJ4P8XYl_iETQ,http://www.youtube.com/channel/UCrjliuC6PeXJ4P8XYl_iETQ,ThioJoeTech
UCrvF7crv7U50zCnam5tmyng,http://www.youtube.com/channel/UCrvF7crv7U50zCnam5tmyng,Foolish Gamers
UCs6KfncB4OV6Vug4o_bzijg,http://www.youtube.com/channel/UCs6KfncB4OV6Vug4o_bzijg,Techlore
UCsBjURrPoezykLs9EqgamOA,http://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Fireship
UCsXVk37bltHxD1rDPwtNM8Q,http://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell
UCsnGwSIHyoYN0kiINAGUKxg,http://www.youtube.com/channel/UCsnGwSIHyoYN0kiINAGUKxg,Wolfgang's Channel
UCsodRQuyfNrnM0Q8Qtjzaww,http://www.youtube.com/channel/UCsodRQuyfNrnM0Q8Qtjzaww,PhilzaCLIPS
UCtWJFkS6AQ4dQ_nUTBPWi4A,http://www.youtube.com/channel/UCtWJFkS6AQ4dQ_nUTBPWi4A,GeorgeWasFound
UCto7D1L-MiRoOziCXK9uT5Q,http://www.youtube.com/channel/UCto7D1L-MiRoOziCXK9uT5Q,Let's Game It Out
UCuCkxoKLYO_EQ2GeFtbM_bw,http://www.youtube.com/channel/UCuCkxoKLYO_EQ2GeFtbM_bw,Half as Interesting
UCuWWK5aYVT78H97wbtVJCgw,http://www.youtube.com/channel/UCuWWK5aYVT78H97wbtVJCgw,Flabaliki
UCv3Kk__aFcKKx_o2686uQcw,http://www.youtube.com/channel/UCv3Kk__aFcKKx_o2686uQcw,SAD-ist
UCvlWPJSbHNLLLA-QhXhOD9w,http://www.youtube.com/channel/UCvlWPJSbHNLLLA-QhXhOD9w,law violator
UCvsdQrg8SkOvS2WiVXA5S4A,http://www.youtube.com/channel/UCvsdQrg8SkOvS2WiVXA5S4A,Ph1LzA
UCwhiRo2CSPODulancVnWopQ,http://www.youtube.com/channel/UCwhiRo2CSPODulancVnWopQ,ejsafc
UCx8tCr8K-8N1SAZOhDiDuEQ,http://www.youtube.com/channel/UCx8tCr8K-8N1SAZOhDiDuEQ,Houst10
UCxLIJccyaRQDeyu6RzUsPuw,http://www.youtube.com/channel/UCxLIJccyaRQDeyu6RzUsPuw,JackSucksAtStuff
UCxeHlUzzLotmE8Yo9R-8m6w,http://www.youtube.com/channel/UCxeHlUzzLotmE8Yo9R-8m6w,University of Iowa
UCxkM67T_Iele-mRVUiBkRqg,http://www.youtube.com/channel/UCxkM67T_Iele-mRVUiBkRqg,Jet Lag: The Game
UCy2b5p8-XccSOR_x5HGpiRA,http://www.youtube.com/channel/UCy2b5p8-XccSOR_x5HGpiRA,censiCLICK
UCyktGLVQchOpvKgL7GShDWA,http://www.youtube.com/channel/UCyktGLVQchOpvKgL7GShDWA,Jack Massey Welsh
UCzEnk4KWFlSj_PjXLz0-GMA,http://www.youtube.com/channel/UCzEnk4KWFlSj_PjXLz0-GMA,EmKay
UCzZLX5xGfjzXhRRzc8ruG8Q,http://www.youtube.com/channel/UCzZLX5xGfjzXhRRzc8ruG8Q,ConnorEatsPants
